,importance
GP Consultation,0.011734033609176922
Telephone encounter,0.00687869528698841
Amlodipine 5mg tablets,0.005849642733057959
Letter from consultant,0.005454329120721844
Patient reviewed,0.00544669345186468
Medication review done by pharmacist,0.00525717155132939
Administration,0.005236172723210112
Paracetamol 500mg tablets,0.005091460977972345
SMS text message sent to patient,0.00473635335288851
Simvastatin 40mg tablets,0.00452477076301307
Seen in hospital casualty,0.004520676699830039
Result,0.004179533089073171
O/E - blood pressure reading,0.004147640655991561
BP Systolic,0.004002299724718757
BP Diastolic,0.0039291134708360894
Medication requested,0.0039094599905127704
Informing patient of named accountable general practitioner,0.0038911407647460347
Bendroflumethiazide 2.5mg tablets,0.0036256129751483603
O/E - weight,0.003613105004950914
Amlodipine 10mg tablets,0.003589217984485737
Atorvastatin 20mg tablets,0.0034586118950003723
Patient allocated named accountable general practitioner,0.0034320746580012106
Zapain 30mg/500mg capsules (AMCo),0.003255876106849747
Letter encounter,0.0031301010218047123
[V]Other specified administrative encounter,0.003125990650729081
Aspirin 75mg dispersible tablets,0.003079835713199541
Atorvastatin 10mg tablets,0.003026462638146514
Lisinopril 10mg tablets,0.0028801007906443846
O/E - pulse rate,0.002789439026936179
BCSP faecal occult blood test normal,0.0027886149075711545
Discharge summary report,0.0027861574258371035
Informed consent for procedure,0.0027303839473817627
Levothyroxine sodium 100microgram tablets,0.002712486485465048
No response to bowel cancer screening programme invitation,0.0026374475239813273
International normalised ratio,0.0026234999707296976
BMI,0.0025864641730370987
Naproxen 500mg tablets,0.0025428499212964413
Scanned document,0.002527200731620032
Zapain 30mg/500mg tablets (AMCo),0.0024528861049160503
Amitriptyline 10mg tablets,0.0024312900304110743
Influenza vaccination invitation first letter sent,0.0024120313613180035
Levothyroxine sodium 25microgram tablets,0.0023786036231836487
Culture & Sensitivity (MRSA),0.0023605038360843596
Lisinopril 20mg tablets,0.0023238082463001653
Naproxen 500mg gastro-resistant tablets,0.0022593776023500257
Telephone triage encounter,0.002254068739071075
Simvastatin 20mg tablets,0.0022385401127937086
WHO performance status grade 2,0.0022107134358181277
Alendronic acid 70mg tablets,0.0021941272262316616
Seen in orthopaedic clinic,0.0021914174034657024
Metformin 500mg tablets,0.0021843198318731456
Ventolin 100micrograms/dose Evohaler (GlaxoSmithKline UK ...,0.002151286680704208
Seen in radiology department,0.002125914588396337
Tamsulosin 400microgram modified-release capsules,0.0021168776143801844
Medication review,0.0020528492936241058
Levothyroxine sodium 50microgram tablets,0.0020453625274000553
Other medication review,0.002014101277110315
Allopurinol 100mg tablets,0.0020063517134893487
Seen in cardiac clinic,0.0019633495249735023
Choice and booking - enhanced services administration,0.0019497158749618698
Ex smoker,0.0019451553021286373
Amoxicillin 500mg capsules,0.0019386830554220216
Height (cm),0.0019326817446181296
Ramipril 10mg capsules,0.0019244029129918373
Tramadol 50mg capsules,0.0019079474570101445
Non-smoker,0.0019013056868338537
Had a chat to patient,0.0018988909468561914
Atorvastatin 40mg tablets,0.0018908478080952966
Letter received,0.0018751404019590019
Discharge summary,0.0018743394120278652
Knee pain,0.0018669456915534233
Seasonal influenza vaccination,0.0018468273107455722
Seen in rheumatology clinic,0.001834211751690627
Influenza imm.advised in surg.,0.0017734712073326031
Adcal-D3 750mg/200unit caplets (Kyowa Kirin Ltd),0.0017647370505179747
Failed encounter NOS,0.0017492888763299816
Acute kidney injury warning stage,0.00174357073879961
Gabapentin 300mg capsules,0.0017300301395281555
SMS message sent to patient,0.0017266506203543223
Pain in buttock,0.0017238610556489476
Test Request : Liver Function Tests*,0.0017137553976315546
Naproxen 250mg gastro-resistant tablets,0.001704401221080685
Atenolol 50mg tablets,0.0017016069594420786
Smoking cessation advice,0.0016997048575573997
Patient asked to come in,0.001675503874470567
Lisinopril 5mg tablets,0.0016706091487258168
Chr dis monitor - 1st recall,0.0016475895663304388
Hypertens.monitor.1st letter,0.0016434565299104785
Seen in urology clinic,0.0016246560729260443
Ibuprofen 400mg tablets,0.0015984089660569837
Chr dis monitor - 2nd recall,0.0015659717569180417
[V]Administrative encounters,0.0015631649425161694
TSH,0.0015610066967910103
C-Reactive protein,0.0015587019622895133
Beconase Aqueous 50micrograms/dose nasal spray (GlaxoSmit...,0.001553810744378231
Atenolol 25mg tablets,0.0015522182109570619
Home visit,0.0015436545976667577
