,importance
Paracetamol 500mg tablets,0.010195081165827286
Amlodipine 5mg tablets,0.008903552454657999
Simvastatin 40mg tablets,0.007586563660708558
Bendroflumethiazide 2.5mg tablets,0.006018634857887208
Amlodipine 10mg tablets,0.0058872954928340625
Atorvastatin 20mg tablets,0.005872697509767288
Atorvastatin 10mg tablets,0.005192037072316615
Naproxen 500mg tablets,0.0049837109596889365
Aspirin 75mg dispersible tablets,0.004912061329592362
Zapain 30mg/500mg tablets (AMCo),0.004819825409888362
Metformin 500mg tablets,0.004818814021437704
Simvastatin 20mg tablets,0.0048045022849767145
Amitriptyline 10mg tablets,0.0047444756833713245
Ventolin 100micrograms/dose Evohaler (GlaxoSmithKline UK ...,0.004636805443625222
Lisinopril 20mg tablets,0.004441761807435193
Alendronic acid 70mg tablets,0.003992689196735131
Zapain 30mg/500mg capsules (AMCo),0.003912867779093609
Levothyroxine sodium 100microgram tablets,0.0038393674968123597
Naproxen 500mg gastro-resistant tablets,0.00382920795541044
Lisinopril 10mg tablets,0.003829207464474298
Tamsulosin 400microgram modified-release capsules,0.0037386708284822484
Levothyroxine sodium 25microgram tablets,0.003703221124425298
Allopurinol 100mg tablets,0.003504508786944478
Atorvastatin 40mg tablets,0.0033195886837347442
Fenbid 5% gel (AMCo),0.0032010081344631216
Ibuprofen 400mg tablets,0.0031332315372920964
Naproxen 250mg tablets,0.00311605926325111
Tramadol 50mg capsules,0.003075205047567253
Lisinopril 5mg tablets,0.0030713145993992805
Levothyroxine sodium 50microgram tablets,0.003018169906144397
Adcal-D3 750mg/200unit caplets (Kyowa Kirin Ltd),0.0029731077662835
Ramipril 10mg capsules,0.0029511572886714034
Naproxen 250mg gastro-resistant tablets,0.002946049442332252
Atenolol 50mg tablets,0.002857869691223579
High blood pressure,0.0028553479223756093
Amoxicillin 500mg capsules,0.0028260447184089484
Laxido Orange oral powder sachets sugar free (Galen Ltd),0.0027847088542609743
Pain in buttock,0.002685785896401489
Beconase Aqueous 50micrograms/dose nasal spray (GlaxoSmit...,0.0026335732756759137
Lactulose 3.1-3.7g/5ml oral solution,0.0026189161634882605
Gabapentin 300mg capsules,0.0025830337149000595
Indapamide 2.5mg tablets,0.0025378941214554617
Ramipril 2.5mg capsules,0.0024716796493649226
Clopidogrel 75mg tablets,0.0024332609552395394
Adcal-D3 Lemon chewable tablets (ProStrakan Ltd),0.0024226570328320777
Candesartan 8mg tablets,0.0022946134039402515
Viscotears 2mg/g liquid gel (Bausch & Lomb UK Ltd),0.002270880122188835
Sertraline 50mg tablets,0.002263990728804801
Codeine 15mg tablets,0.002256593983474384
Methotrexate 2.5mg tablets,0.002246128810632038
Latanoprost 50micrograms/ml eye drops,0.002245445370998498
Amitriptyline 25mg tablets,0.0022330146458321436
Flucloxacillin 500mg capsules,0.0021691946434267604
Gout,0.002121859642974985
"Pro D3 20,000unit capsules (Synergy Biologics Ltd)",0.00210170971034346
Bisoprolol 1.25mg tablets,0.0020991436115552838
Bisoprolol 2.5mg tablets,0.002091744655156899
Tiotropium bromide 18microgram inhalation powder capsules,0.0020824415709038845
Simvastatin 10mg tablets,0.002063869450794889
Doxazosin 4mg tablets,0.0020498269093822863
Nitrofurantoin 100mg modified-release capsules,0.002048414923597929
Doxycycline 100mg capsules,0.0020415734676378886
Hydroxocobalamin 1mg/1ml solution for injection ampoules,0.002034648949082183
Citalopram 20mg tablets,0.0020258277895904312
Co-codamol 8mg/500mg capsules,0.002015279321423625
Cetirizine 10mg tablets,0.001981876709453388
Prednisolone 5mg tablets,0.0019664273829011333
Furosemide 20mg tablets,0.001948257169274712
Gabapentin 100mg capsules,0.0019386705347648303
Warfarin 1mg tablets,0.0019304796940266859
Finasteride 5mg tablets,0.0019247705241920501
Prednisolone 5mg gastro-resistant tablets,0.0018868898381747335
Lercanidipine 10mg tablets,0.0018865029752377085
Betahistine 16mg tablets,0.001866973869607201
Furosemide 40mg tablets,0.0018625328818652948
Osteoarthritis and allied disorders,0.0018593630357807895
Bisoprolol 5mg tablets,0.0018342696730752604
Seretide 500 Accuhaler (GlaxoSmithKline UK Ltd),0.0018341548444534863
Allopurinol 300mg tablets,0.0018265943295087722
Low back pain,0.0017970869881841702
Candesartan 4mg tablets,0.0017940795342681708
Folic acid 5mg tablets,0.0017779179472572385
Hypromellose 0.3% eye drops,0.0017671577854774466
Hip pain,0.0017668705886638998
Losartan 100mg tablets,0.0017636274998156676
Sertraline 100mg tablets,0.001752694499651412
Paracetamol 500mg capsules,0.0017412561984767629
Carbocisteine 375mg capsules,0.0017405178085367688
Ibuprofen 200mg tablets,0.001731454307953409
SMS message sent to patient,0.0017256975847480683
Lisinopril 2.5mg tablets,0.0017043235327285997
Adcal-D3 chewable tablets tutti frutti (Kyowa Kirin Ltd),0.0016940041111903272
Aspirin 75mg gastro-resistant tablets,0.0016925381150352707
Nasonex 50micrograms/dose nasal spray (Merck Sharp & Dohm...,0.0016729064747777666
Simvador 40mg tablets (Discovery Pharmaceuticals),0.0016703764610535028
Voltarol 12 Hour Emulgel P 2.32% gel (Novartis Consumer H...,0.0016624435306656592
Ramipril 5mg capsules,0.00164812520245003
Clarithromycin 500mg tablets,0.00163756672092734
Aspirin 75mg tablets,0.0016346030477088116
Candesartan 16mg tablets,0.0016326559816011192
ARTHRITIS,0.001622851133653698
Propranolol 80mg modified-release capsules,0.0016189533279717776
Quinine sulfate 300mg tablets,0.0016000556747078508
Atenolol 25mg tablets,0.0015910347018053275
Spiriva 18microgram inhalation powder capsules (Boehringe...,0.0015715094401333657
Quinine sulfate 200mg tablets,0.0015635672129861212
Chemydur 60XL tablets (AMCo),0.0015566841294666312
Type 2 diabetes mellitus,0.0014919790926527046
Sciatica,0.0014839314352229568
Mirtazapine 15mg tablets,0.0014672928460735264
Oramorph 10mg/5ml oral solution (Boehringer Ingelheim Ltd),0.0014470800280144795
Cholelithiasis,0.0014435836212087995
Nefopam 30mg tablets,0.00143627212347165
Co-codamol 8mg/500mg tablets,0.0014346252885221705
Ibuprofen 10% gel,0.0014258337672817486
Doublebase gel (Dermal Laboratories Ltd),0.001424113857790255
Lercanidipine 20mg tablets,0.0014177610967865501
Spinal stenosis,0.0014123136981110057
Preferred method of contact: unknown,0.0013701507371777207
Diclofenac sodium 50mg gastro-resistant tablets,0.001358018504155524
Anastrozole 1mg tablets,0.00135504790411961
Hydrocortisone 1% cream,0.0013458573623585757
Chloramphenicol 1% eye ointment,0.0013436928467711632
Docusate 100mg capsules,0.0013408419503262126
Co-dydramol 10mg/500mg tablets,0.0013369132790238029
