,importance
GP Consultation,0.01100568558188214
Telephone encounter,0.007666255981730234
Letter from consultant,0.006267201301801044
Patient reviewed,0.005923343238774486
Amlodipine 5mg tablets,0.005289469850749801
Administration,0.005253090472110643
Paracetamol 500mg tablets,0.005224359022389712
Medication review done by pharmacist,0.0051868522280862075
Simvastatin 40mg tablets,0.004530287112578833
SMS text message sent to patient,0.00438310158972792
Medication requested,0.004275571884168046
Seen in hospital casualty,0.004215180955495261
O/E - blood pressure reading,0.004121651189559895
O/E - weight,0.0041115650841429445
Informing patient of named accountable general practitioner,0.004057339349938887
Result,0.00395371902598178
BP Systolic,0.003880332236234461
BP Diastolic,0.003855811473102228
Letter encounter,0.003846857451664284
Patient allocated named accountable general practitioner,0.0038190438004522815
Atorvastatin 20mg tablets,0.0036696485139323357
Bendroflumethiazide 2.5mg tablets,0.003576712708510024
O/E - pulse rate,0.003504553544938008
[V]Other specified administrative encounter,0.0033009886434385216
Atorvastatin 10mg tablets,0.0032416761567965655
Informed consent for procedure,0.0032166797187420004
Amlodipine 10mg tablets,0.003182317568909913
BMI,0.003163882719236846
Zapain 30mg/500mg tablets (AMCo),0.0031391293834156096
Lisinopril 10mg tablets,0.003076926207040142
Aspirin 75mg dispersible tablets,0.0028937945207956305
BCSP faecal occult blood test normal,0.002840858932841217
Scanned document,0.002828421851613606
Simvastatin 20mg tablets,0.002792112797954672
Amitriptyline 10mg tablets,0.002786623897471188
Discharge summary report,0.0027670555900658387
Levothyroxine sodium 100microgram tablets,0.0027565194334751237
Zapain 30mg/500mg capsules (AMCo),0.002730869179324893
Ventolin 100micrograms/dose Evohaler (GlaxoSmithKline UK ...,0.002603874160251155
Naproxen 500mg tablets,0.002583017013007774
No response to bowel cancer screening programme invitation,0.0025262516150525768
Test Request : Liver Function Tests*,0.002423105692129577
Alendronic acid 70mg tablets,0.0024099511672704917
Ex smoker,0.0023993553320959694
Lisinopril 20mg tablets,0.002377867385906705
Home visit,0.0023652572654268723
Discharge summary,0.002358017571313509
Telephone triage encounter,0.002347070586423204
Seen in ophthalmology clinic,0.002324690965106755
Medication review,0.00232184627784617
Influenza vaccination invitation first letter sent,0.0023106889728743583
Non-smoker,0.0023011353985755295
Smoking cessation advice,0.002289271250597043
Had a chat to patient,0.002276553346602658
Seen in orthopaedic clinic,0.0022537538481925885
Levothyroxine sodium 25microgram tablets,0.0022269707272124556
Metformin 500mg tablets,0.002197579358252828
Height (cm),0.002175291447222431
Amoxicillin 500mg capsules,0.002173246719670331
Levothyroxine sodium 50microgram tablets,0.0021434149129947798
Choice and booking - enhanced services administration,0.00212514510514687
Naproxen 500mg gastro-resistant tablets,0.0021186823550607206
Lisinopril 5mg tablets,0.002083244691328042
Tamsulosin 400microgram modified-release capsules,0.0020768018831730114
Other medication review,0.002072534154320235
Chr dis monitor - 1st recall,0.002027360327932801
Ramipril 10mg capsules,0.0020106203494308955
Adcal-D3 750mg/200unit caplets (Kyowa Kirin Ltd),0.0019961684539945477
Letter received,0.0019817059048320078
WHO performance status grade 2,0.0019458905660540622
Atorvastatin 40mg tablets,0.0019309538936842104
Seen in urology clinic,0.0019155179791878415
Allopurinol 100mg tablets,0.0018960050993665164
Seen in cardiac clinic,0.0018924718219393904
Naproxen 250mg gastro-resistant tablets,0.0018834520817933992
Tramadol 50mg capsules,0.0018826904490525705
Chr dis monitor - 2nd recall,0.0018512781100287561
Knee pain,0.001842967589040129
Influenza imm.advised in surg.,0.0018125693547497248
Hypertens.monitor.1st letter,0.0017962496158515555
Failed encounter,0.0017426110159852626
Cough,0.001698803765478722
Atenolol 50mg tablets,0.0016951573530256045
Discharged from hospital,0.0016930493576476394
Seasonal influenza vaccination,0.0016909428351547075
SMS message sent to patient,0.0016822610000129259
Letter sent to patient,0.0016756445898071372
Fenbid 5% gel (AMCo),0.001659122414233537
Beconase Aqueous 50micrograms/dose nasal spray (GlaxoSmit...,0.0016518777130006082
Ibuprofen 400mg tablets,0.0016438166941330616
Advice given about bowel cancer screening programme,0.0016365298337188377
A&E report,0.0016213043346440569
Co-codamol 8mg/500mg tablets,0.0016072310430921923
Clopidogrel 75mg tablets,0.0016032966025613883
Seen in rheumatology clinic,0.0016016140231450116
Ramipril 5mg capsules,0.0016013261654047606
Repeat treatment NOS,0.0016010535326114591
Alcohol consumption,0.0015967891525665893
Naproxen 250mg tablets,0.001591051589636765
Encounter administration,0.0015528838523505327
[V]Administrative encounters,0.0015413263540269904
Seasonal influenza vaccination declined,0.0015208433435856532
Gabapentin 300mg capsules,0.001467374798347145
Influenza vacc consent given,0.0014613699010520983
Atenolol 25mg tablets,0.0014585434071335904
Latanoprost 50micrograms/ml eye drops,0.00145788700330737
High blood pressure,0.0014562541454958373
Urine protein/creatinine ratio,0.001450270662914635
Ultrasound scan,0.0014329951713464705
Allopurinol 300mg tablets,0.0014197980499364785
Chronic obstructive pulmonary disease monitoring 1st letter,0.0014123074890359274
Patient asked to come in,0.001396744852544327
Did not attend - no reason,0.0013794194248917565
Alcohol use disorder identificatn test consumptn questionnre,0.0013793576858712093
Implied consent for core Summary Care Record dataset upload,0.0013774404118595213
Diabetes monitoring 1st letter,0.001368090462955136
Folic acid 5mg tablets,0.0013579394918303812
Failed encounter NOS,0.0013486058802167778
At risk of dementia,0.0013419435273748458
QRISK2 cardiovascular disease 10 year risk score,0.0013386938180561334
Gout,0.0013373294881064623
Seen in radiology department,0.0013192803565413094
Seen in dermatology clinic,0.0013114828055620935
Warfarin 1mg tablets,0.0013085447466414434
Laxido Orange oral powder sachets sugar free (Galen Ltd),0.0012893508911594675
Pain in buttock,0.0012862212041754107
Ramipril 2.5mg capsules,0.0012842215577170142
Bisoprolol 2.5mg tablets,0.0012796290104293167
Candesartan 8mg tablets,0.0012761042531025987
Failed encounter - message left on answer machine,0.0012718501959422238
Citalopram 20mg tablets,0.001262797082804624
Methotrexate 2.5mg tablets,0.0012580547981020662
Preferred method of contact: unknown,0.0012573169026088506
Letter invite to screening,0.0012466676959593183
Seen in gynaecology clinic,0.0012358991638587082
Lactulose 3.1-3.7g/5ml oral solution,0.00122447266670429
Tiotropium bromide 18microgram inhalation powder capsules,0.0012188930762906866
Chronic disease annual review,0.0012145913694246299
Betahistine 16mg tablets,0.0012126430441520256
Seen in clinic,0.0012010241435734972
Cetirizine 10mg tablets,0.0011919903802986814
Adcal-D3 Lemon chewable tablets (ProStrakan Ltd),0.001172707505724633
Aspirin 75mg gastro-resistant tablets,0.001156341993102423
Orthopaedic referral,0.0011453513824559735
Amitriptyline 25mg tablets,0.001136308503699552
Advice about investigation results,0.0011294315089754967
Back pain without radiation NOS,0.0011286199964486464
Medication review of medical notes,0.0011256895211093395
Finasteride 5mg tablets,0.0011218595764741106
Intramuscular injection of vitamin B12,0.0011190028348481216
Hydroxocobalamin 1mg/1ml solution for injection ampoules,0.0011119950620019114
Doxazosin 4mg tablets,0.0011109735377123494
Simvador 40mg tablets (Discovery Pharmaceuticals),0.0011057390529889799
Candesartan 16mg tablets,0.0011022100966898729
Seen in general surgery clinic,0.0011005032783519106
O/E - pulse rhythm regular,0.001098436212286399
Doxycycline 100mg capsules,0.0010894181512365747
Hypromellose 0.3% eye drops,0.0010825581303383115
Candesartan 4mg tablets,0.0010728780934769729
Prednisolone 5mg tablets,0.0010668127864416701
Metformin 500mg modified-release tablets,0.0010605040705579485
Cervicalgia - pain in neck,0.0010516822865686952
QAdmissions risk emergency hospital admission next 12 months,0.0010432491762210573
Influenza vaccination invitation second letter sent,0.0010395058163069164
Simvastatin 10mg tablets,0.0010392768557791364
Consultation,0.0010324653328060898
Seretide 500 Accuhaler (GlaxoSmithKline UK Ltd),0.0010302328713861597
Repeat medication check,0.0010219717941514345
Gabapentin 100mg capsules,0.0010180147594646678
"Pro D3 20,000unit capsules (Synergy Biologics Ltd)",0.0010172824976241342
Seen in gastroenterology clinic,0.0010087695764743718
Seen in ENT clinic,0.0010008321390169992
Diclofenac sodium 50mg gastro-resistant tablets,0.0009968425148192202
Sertraline 100mg tablets,0.0009921357577607683
Bowel cancer screening programme: faecal occult blood result,0.0009916876159148037
Losartan 100mg tablets,0.000990301242193767
Flucloxacillin 500mg capsules,0.0009887983614809367
Sertraline 50mg tablets,0.0009849965198570447
Education about lifestyle for risk of diabetes,0.000983931737380832
Chronic dis care arrangmnt NOS,0.0009823259034160156
Drug changed to cost effective alternative,0.0009792332833415756
Spinal stenosis,0.0009764530079676824
Bisoprolol 5mg tablets,0.0009686465965135526
DNA hospital appointment,0.0009663809313813659
Lercanidipine 10mg tablets,0.000960610494877675
Docusate 100mg capsules,0.0009546808675882662
Fluoxetine 20mg capsules,0.0009546675942992062
Viscotears 2mg/g liquid gel (Bausch & Lomb UK Ltd),0.0009521685894916234
Bisoprolol 1.25mg tablets,0.0009517581086017909
Chronic kidney disease monitoring first letter,0.0009397246282929024
Citalopram 10mg tablets,0.0009246149939607536
Medication review with patient,0.0009225774238245382
Backache,0.0009167709043343927
Medication review done,0.0009142227299167954
Losartan 50mg tablets,0.0009084186048899834
Atenolol 100mg tablets,0.0009041005848038115
Furosemide 40mg tablets,0.000898449779174357
Quinine sulfate 200mg tablets,0.0008983955060818369
Loperamide 2mg capsules,0.000894761718969933
Indapamide 2.5mg tablets,0.0008784585101819734
Mirtazapine 15mg tablets,0.0008743671775782683
Seen in oncology clinic,0.000873789219467704
Spiriva 18microgram inhalation powder capsules (Boehringe...,0.0008715038308930694
Prochlorperazine 5mg tablets,0.0008699008565621239
Clinical document,0.0008655513787735407
Seen by optician,0.0008584070586998731
Medication review due,0.0008389910746986739
Seen by respiratory physician,0.0008383650392778353
Waist circumference,0.0008381130389208848
Sildenafil 100mg tablets,0.0008371474977196894
Seen in musculoskeletal clinic,0.0008290059546459158
OOH report,0.0008276621407615736
Prednisolone 5mg gastro-resistant tablets,0.0008227785385830331
