,importance
GPPAQ physical activity index: active,1.6090160354908538
Serum vitamin D,1.4891212846230624
C/O - catarrh,1.4318036251994735
Seen by accident and emergency doctor,1.4276349857231132
Diclofenac sodium 50mg gastro-resistant tablets,1.418912102559479
Pain in leg,1.4043559571068984
Throat examination - normal,1.3389503128621953
Voltarol 12 Hour Emulgel P 2.32% gel (Novartis Consumer H...,1.3100962461574275
Discharged from hospital,1.2968219867038604
Fucidin H cream (LEO Pharma),1.2965822161362792
At risk of acute kidney injury,1.2924981623407699
Candesartan 16mg tablets,1.263568661215806
"Urinary tract infection, site not specified",1.2419400126540332
Lifestyle counselling,1.2115749968494218
Citalopram 10mg tablets,1.2084965410940047
Viazem XL 180mg capsules (Thornton & Ross Ltd),1.2027482102766425
Doxazosin 4mg modified-release tablets,1.1750911773775095
Rosuvastatin 10mg tablets,1.1685631514892263
Sildenafil 50mg tablets,1.1664551377417185
Travoprost 40micrograms/ml eye drops,1.1605927890461136
Repeat medication check,1.1541426208530068
Seen in hospital casualty,1.1541415896966754
MSG:Form GOS18 Ophthalmic referral,1.1540548982747107
Influenza vaccination invitation 2nd SMS text message sent,1.1540397325350056
Cholelithiasis,1.154006102154015
Gabapentin 300mg capsules,1.1538896234027727
Pain in buttock,1.1537892798825162
WHO performance status grade 2,1.1536456569266649
Elbow pain,1.1511396681948454
Occupations,1.133726936538843
Chronic obstructive pulmonary disease assessment test,1.1140260479201427
Dovobet ointment (LEO Pharma),1.1122120378660836
MSG:Referred to urologist,1.1107221829045173
Patient on maximal tolerated therapy for diabetes,1.1087763059947315
Dexamethasone 2mg tablets,1.0937019370739622
ASTHMA,1.0886030210735842
Fall - accidental,1.0882433790077521
Tamoxifen 20mg tablets,1.0865214879332554
A&E report,1.07572157476859
Fesoterodine 4mg modified-release tablets,1.074745200235731
Chronic obstructive pulmonary disease annual review,1.0714123077356537
Main spoken language English,1.0710499716346586
Hylo-Forte 0.2% eye drops preservative free (Scope Ophthalmics Ltd),1.064604038502579
ARTHRITIS,1.0624130656056132
Influenza vaccination invitation second letter sent,1.0578648108887592
Review of admission avoidance care plan,1.0395613090661322
Doxycycline 100mg capsules,1.0259206693696954
Diabetes monitoring 3rd letter,1.0215159202992945
Plasma urate level,1.020742490609375
Seen in emergency clinic,1.0165520749350225
Tabphyn MR 400microgram capsules (Kyowa Kirin Ltd),1.0165520749350225
Suspected condition,1.0
Medication stopped - side effect,1.0
Cannulation site irritation,1.0
Hydrocortisone 1% ointment,1.0
Ganfort 0.3mg/ml / 5mg/ml eye drops 0.4ml unit dose (Alle...,1.0
VitA-POS eye ointment preservative free (Scope Ophthalmic...,1.0
[D]Chest mass,1.0
Predsol 0.5% ear/eye drops (Focus Pharmaceuticals Ltd),1.0
No consent - influenza imm.,1.0
MucoClear 6% inhalation solution 4ml ampoules (Pari Medic...,1.0
Ipratropium bromide 20micrograms/dose inhaler CFC free,1.0
Metronidazole 400mg tablets,1.0
GOS18 report,1.0
Carmellose 0.5% eye drops 0.4ml unit dose preservative free,1.0
Weight management plan started,1.0
Night cramps,1.0
Incruse Ellipta 55micrograms/dose dry powder inhaler (Gla...,1.0
Sample: organism sensitivity,1.0
Nitrofurantoin 100mg tablets,1.0
Polyfax ointment (Teva UK Ltd),1.0
Spinal stenosis,1.0
Zolpidem 10mg tablets,1.0
Paroxysmal supraventricular tachycardia,1.0
GelTears 0.2% gel (Bausch & Lomb UK Ltd),1.0
Upper abdominal pain,1.0
GPCOG (GP assessment of cognition) patient examination,1.0
EarCalm 2% spray (Forest Laboratories UK Ltd),1.0
Diclofenac potassium 50mg tablets,1.0
Peripheral neuropathy,1.0
Chaser sent to FPC for MRE,1.0
Heart rate,1.0
Maxitram SR 50mg capsules (Chiesi Ltd),1.0
Hypothyroidism monitoring first letter,1.0
Sebaceous cyst of scalp,1.0
Nova Mini colostomy bag 803-25 25mm Opaque (Dansac Ltd),1.0
Sample rejected,1.0
Declines to give mobile telephone number,1.0
Ropinirole 500microgram tablets,1.0
History obtained from third party,1.0
Patient given advice about bowel cancer,1.0
Falls risk assessment complete,1.0
Haemorrhoids,1.0
Otomize ear spray (Forest Laboratories UK Ltd),1.0
NovaLife 1 colostomy bag midi 901-35 Cut to fit 35mm-55mm...,1.0
Oxybutynin 5mg modified-release tablets,1.0
Ciprofloxacin 250mg tablets,1.0
Genius gluten free white bread sliced (Genius Foods Ltd),1.0
Herpes zoster vacc invit SMS (shrt messge serv) text message,1.0
Medical reports sent,1.0
Adipine XL 30mg tablets (Chiesi Ltd),1.0
Nausea,1.0
OxyContin 20mg modified-release tablets (Napp Pharmaceuti...,1.0
Abdominal aortic aneurysm screen ultrasound scan normal,1.0
Excepted from COPD quality indicators: Informed dissent,1.0
MSG:Referral to audiology clinic,1.0
Achilles tendinitis,1.0
Seen in spinal clinic,1.0
Ibuprofen 800mg modified-release tablets,1.0
Discharged from services,1.0
Movicol oral powder 13.8g sachets lemon & lime (Norgine Pharmaceuticals Ltd),1.0
On gold standards palliative care framework,1.0
Cervical spine X-ray,1.0
Aortic aneurysm,1.0
Rep.presc. treatment changed,1.0
Wasp sting,1.0
Pt advised re wt reducing diet,1.0
Aveeno lotion (Johnson & Johnson Ltd),1.0
Bicalutamide 50mg tablets,1.0
Glaucoma NOS,1.0
Mometasone 0.1% ointment,1.0
Zacin 0.025% cream (Teva UK Ltd),1.0
Xalacom eye drops (Pfizer Ltd),1.0
Patient asked to make telephone consultation appointment,1.0
Did not attend blood test,1.0
Tear-Lac Hypromellose 0.3% eye drops preservative free (S...,1.0
Seen by gastroenterologist,1.0
Encounter report,1.0
Referral to fracture clinic,1.0
Microsuction clearance of wax from external auditory canal,1.0
Enjoys moderate exercise,1.0
Discharge from dietetics service,1.0
Clobetasol 0.05% cream,1.0
Locoid 0.1% ointment (LEO Pharma),1.0
Phenobarbital 60mg tablets,1.0
Health educn - back problems,1.0
Fybogel Lemon 3.5g effervescent granules sachets SF (Reck...,1.0
Seasickness,1.0
Risedronate sodium 35mg tablets,1.0
Adverse reaction to Codeine Phosphate,1.0
Referral to cataract clinic,1.0
Sample culture,1.0
Secondary malignant neoplasm of other specified sites,1.0
Imuvac vaccine suspension for injection 0.5ml pre-filled syringes (Mylan Ltd),1.0
