,importance
Voltarol 12 Hour Emulgel P 2.32% gel (Novartis Consumer H...,2.0761176976589946
Tolterodine 4mg modified-release capsules,1.4485582723334347
Bicalutamide 50mg tablets,1.4387827352971776
Adipine XL 30mg tablets (Chiesi Ltd),1.435511412138784
Olive oil ear drops,1.345699724672494
ASTHMA,1.2808939560337134
Tiotropium bromide 18microgram inhalation powder capsules...,1.2561464083966878
Zomorph 30mg modified-release capsules (Archimedes Pharma...,1.2274000399451253
Temazepam 10mg tablets,1.2249701410136442
Cefalexin 250mg capsules,1.1853619055477
ARTHRITIS,1.153151799321447
Candesartan 16mg tablets,1.149238725377739
Doxazosin 4mg modified-release tablets,1.1253259445555748
Fucidin H cream (LEO Pharma),1.0969977020583117
Fall - accidental,1.0868487967030853
Dovobet ointment (LEO Pharma),1.0845134967405268
Fesoterodine 4mg modified-release tablets,1.0728898704713745
Digoxin 125microgram tablets,1.0726204102504333
Nitrofurantoin 100mg tablets,1.0628556045469202
Cholelithiasis,1.0628529608484802
Spinal stenosis,1.0628262718028414
Hydroxocobalamin 1mg/1ml solution for injection ampoules,1.0628259081989762
Oramorph 10mg/5ml oral solution (Boehringer Ingelheim Ltd),1.0628204834296346
Preferred method of contact: unknown,1.062797755670559
Nifedipine 5mg capsules,1.0627655819392392
Recall letter,1.0627342348645328
Vagifem 10microgram vaginal tablets (Novo Nordisk Ltd),1.062571833010351
GelTears 0.2% gel (Bausch & Lomb UK Ltd),1.062571677275054
Elocon 0.1% cream (Merck Sharp & Dohme Ltd),1.0625079613948252
Indapamide 1.5mg modified-release tablets,1.0600923496341341
TRUEyou testing strips (Nipro Diagnostics (UK) Ltd),1.057947079250162
Sustanon 250mg/1ml solution for injection ampoules (Aspen...,1.0313640706029865
Clobetasol 0.05% cream,1.0312112365822017
Depo-Medrone 80mg/2ml suspension for injection vials (Pfi...,1.0271514855278545
Gabapentin 300mg capsules,1.014791917286601
Doxycycline 100mg capsules,1.0102474193370639
Diabetes mellitus,1.0
Haemorrhoids,1.0
"Seropositive rheumatoid arthritis, unspecified",1.0
Angitil XL 240 capsules (Ethypharm UK Ltd),1.0
Prepatellar bursitis,1.0
Hypromellose 0.5% eye drops,1.0
Oxybutynin 5mg modified-release tablets,1.0
Possible coronary artery disease/heart failure but seems unlikely,1.0
Fluticasone propionate 500micrograms/dose / Salmeterol 50micrograms/dose dry powder inhaler,1.0
Locoid 0.1% ointment (LEO Pharma),1.0
[RFC] Soft tissue injuries,1.0
Ropinirole 250microgram tablets,1.0
Xalacom eye drops (Pfizer Ltd),1.0
Abdominal cavity hernia NOS,1.0
Bendroflumethiazide 5mg tablets,1.0
Subclinical hypothyroidism,1.0
Impingement syndrome of shoulder,1.0
Bronchiectasis NOS,1.0
Glucose intolerance,1.0
Migraine,1.0
Carmellose 0.5% eye drops 0.4ml unit dose preservative free,1.0
Flexitol Heel Balm (Thornton & Ross Ltd),1.0
Travoprost 40micrograms/ml / Timolol 5mg/ml eye drops,1.0
Trusopt 20mg/ml eye drops (Santen UK Ltd),1.0
Metoprolol 100mg tablets,1.0
Minor head injury,1.0
BPH - benign prostatic hypertrophy,1.0
[D]Vertigo NOS,1.0
Neutrogena T/Gel shampoo for greasy hair (Johnson & Johnson Ltd),1.0
VitA-POS eye ointment preservative free (Scope Ophthalmic...,1.0
Salofalk 2g/59ml enema (Dr. Falk Pharma UK Ltd),1.0
MSG:Acquired renal cystic disease,1.0
Trigger finger - acquired,1.0
Night cramps,1.0
Unilet General Purpose Superlite lancets 0.66mm/23gauge (...,1.0
Consent given for herpes zoster vaccination,1.0
Haematuria,1.0
Ensure Plus milkshake style liquid banana (Abbott Laborat...,1.0
Voltarol 1.16% Emulgel (Novartis Consumer Health UK Ltd),1.0
Predsol 0.5% ear/eye drops (Focus Pharmaceuticals Ltd),1.0
[M]Endometrioid adenomas and carcinomas,1.0
Fracture of metatarsal bone,1.0
Hip osteoarthitis NOS,1.0
MSG:[D]Abdominal pain,1.0
Olmesartan medoxomil 20mg tablets,1.0
Rosuvastatin 10mg tablets,1.0
Risedronate sodium 35mg tablets,1.0
Glaucoma NOS,1.0
Wasp sting,1.0
Amlostin 10mg tablets (Discovery Pharmaceuticals Ltd),1.0
Blephasol lotion (Thea Pharmaceuticals Ltd),1.0
Peptac liquid aniseed (Teva UK Ltd),1.0
Non-diabetic hyperglycaemia,1.0
Ciprofloxacin 250mg tablets,1.0
Cefalexin 125mg/5ml oral suspension,1.0
[D]Musculoskeletal pain,1.0
Regurin XL 60mg capsules (Speciality European Pharma Ltd),1.0
Acute cholecystitis,1.0
Bilateral cataracts,1.0
"Influenza vaccine (split virion, inactivated) suspension ...",1.0
Ropinirole 500microgram tablets,1.0
Carvedilol 3.125mg tablets,1.0
Failed attempted procedure,1.0
Chronic depression,1.0
[D]Jaw pain,1.0
Butec 20micrograms/hour transdermal patches (Qdem Pharmac...,1.0
Calf pain,1.0
Aortic aneurysm,1.0
[D]Chest mass,1.0
Pain in arm,1.0
Desunin 800unit tablets (Meda Pharmaceuticals Ltd),1.0
[M]Meningioma NOS,1.0
Neck sprain,1.0
Anusol cream (McNeil Products Ltd),1.0
Ibandronic acid 150mg tablets,1.0
Sebaceous cyst of scalp,1.0
Volumatic (GlaxoSmithKline UK Ltd),1.0
Oxybutynin 2.5mg tablets,1.0
Drugs and other substances-adverse effects in theraputic use,1.0
Vitamin B compound tablets,1.0
MSG:Keratosis,1.0
Partial thickness rotator cuff tear,1.0
Rhinitis - acute,1.0
Paroxysmal supraventricular tachycardia,1.0
"Contusion, site NOS",1.0
Procoralan 7.5mg tablets (Servier Laboratories Ltd),1.0
Secondary malignant neoplasm of other specified sites,1.0
Peripheral neuropathy,1.0
Tadalafil 20mg tablets,0.993418710280825
Citalopram 10mg tablets,0.984526821910845
MicardisPlus 40mg/12.5mg tablets (Boehringer Ingelheim Ltd),0.9734899969581203
Tadalafil 10mg tablets,0.9734899969581203
Co-Codamol 30/500 Caplets,0.9710148222217533
Lymecycline 408mg capsules,0.9683629677100368
Hydro-Caine Gel (CliniSupplies Ltd),0.9584853450579062
Mild chronic obstructive pulmonary disease,0.9582290980037743
Mirtazapine 15mg tablets,0.9578455767038987
Codeine 15mg tablets,0.9398225672692556
Bimatoprost 300micrograms/ml / Timolol 5mg/ml eye drops,0.9389387889360478
Zemtard 120 XL capsules (Galen Ltd),0.9302727037677877
Hydromol ointment (Alliance Pharmaceuticals Ltd),0.9286552625914701
Oxycodone 5mg modified-release tablets,0.9250610707342797
Telmisartan 80mg / Hydrochlorothiazide 25mg tablets,0.920225703018343
Dipyridamole 200mg modified-release capsules,0.9134857598888126
Venous ulcer of leg,0.9054517636767835
Amitriptyline 50mg tablets,0.9047429110553309
Dioralyte oral powder sachets blackcurrant (Sanofi),0.9009571977114875
Conotrane cream (LEO Pharma),0.8987278959848705
Hydrocortisone 1% / Miconazole 2% cream,0.8985259420731497
Opticrom Aqueous 2% eye drops (Sanofi),0.8980593316578284
Fracture of unspecified bones,0.8957552035694564
Psoriasis unspecified,0.8900560943196425
Parotitis,0.8833633454293239
Dexamethasone 2mg tablets,0.8766842595974941
[D]Impaired fasting glucose,0.8751594237209959
Insulatard InnoLet 100units/ml suspension for injection 3...,0.8749861766797206
Fragility fracture,0.8738701810765691
Fracture of radius NOS,0.8738701810765691
Diclofenac sodium 50mg gastro-resistant tablets,0.8732772607122896
Mirtazapine 45mg orodispersible tablets,0.8720912198084276
Closed fracture of the scaphoid,0.8693922391575716
Trazodone 50mg capsules,0.8635122991238828
Timolol 0.25% eye drops,0.8621904434158225
Pregabalin 75mg capsules,0.8612392243970665
Salazopyrin EN-Tabs 500mg (Pfizer Ltd),0.8605143245444846
Paroxetine 30mg tablets,0.8584254926502178
Achilles tendinitis,0.8580900760213179
Flucloxacillin 500mg capsules,0.8580480119978535
Gliclazide 30mg modified-release tablets,0.8466507911001284
[D]Facial pain,0.8459058326509852
Paracetamol 500mg soluble tablets,0.8388336462948441
Tobradex 3mg/ml / 1mg/ml eye drops (Alcon Laboratories (U...,0.8387886617454738
OxyContin 10mg modified-release tablets (Napp Pharmaceuti...,0.8362952695523228
Temazepam 20mg tablets,0.8357749210944556
Qvar 50 inhaler (Teva UK Ltd),0.8343790260114772
Genius gluten free white bread sliced (Genius Foods Ltd),0.8295432995220536
Zacin 0.025% cream (Teva UK Ltd),0.8294685435141256
Levothyroxine sodium 50micrograms/5ml oral solution sugar...,0.8292398597286107
"Chron obstruct pulmonary dis wth acute exacerbation, unspec",0.8233238949326667
Tapentadol 50mg modified-release tablets,0.8231475529392168
Lorazepam 1mg tablets,0.8145134789401757
Sno Tears 1.4% eye drops (Bausch & Lomb UK Ltd),0.8129497444905963
Anastrozole 1mg tablets,0.809159654506346
Fenbid 5% gel (AMCo),0.8064229669347619
Diverticulosis,0.8062191615621853
Vitamin D deficiency,0.8046827821836724
Carpal tunnel syndrome,0.8025867980584649
Irbesartan 300mg / Hydrochlorothiazide 12.5mg tablets,0.7960403433061197
Anusol cream (Church & Dwight UK Ltd),0.7828249091999262
Candidal intertrigo,0.7826210425307367
Erythrocin 250 tablets (AMCo),0.7816576830945948
Meloxicam 15mg tablets,0.77893923247967
Diamicron 80mg tablets (Servier Laboratories Ltd),0.7627002910784231
Celluvisc 1% eye drops 0.4ml unit dose (Allergan Ltd),0.7597111536593142
Timodine cream (Alliance Pharmaceuticals Ltd),0.758907254765202
Infective otitis externa,0.7585220224614193
Erdosteine 300mg capsules,0.757624109215477
Suspected diabetes mellitus,0.7573609017104056
Acenocoumarol 1mg tablets,0.7559448400140049
Sodium bicarbonate 500mg capsules,0.7550391529654132
Levemir FlexPen 100units/ml solution for injection 3ml pr...,0.7535706802929197
NovoRapid FlexPen 100units/ml solution for injection 3ml ...,0.7535706802929197
Lentigo,0.7513797687896606
Ramipril 1.25mg capsules,0.7512673043679152
Mirtazapine 30mg tablets,0.7512042872528815
Erythromycin ethyl succinate 250mg/5ml oral suspension,0.7487663763984947
Co-amilofruse 5mg/40mg tablets,0.7482075873629155
Atenolol 100mg tablets,0.7480589176908282
Daktacort ointment (Janssen-Cilag Ltd),0.747648172693372
Salbutamol 200micrograms/dose dry powder inhaler,0.7466874416552184
Varenicline 500microgram tablets,0.7448330556925377
Prednisolone 2.5mg gastro-resistant tablets,0.7447871155228195
Azathioprine 50mg tablets,0.7443796776654248
Ibuprofen 10% gel,0.7440661088012793
