,importance
Nitrofurantoin 100mg tablets,1.8035011849395142
Voltarol 12 Hour Emulgel P 2.32% gel (Novartis Consumer H...,1.696075550647538
Anusol cream (McNeil Products Ltd),1.5940497114893548
ARTHRITIS,1.406801719463451
Spinal stenosis,1.3605432730613827
ASTHMA,1.3582322298908607
Pain in leg,1.3406010272189617
Ferrous sulfate 200mg tablets,1.3403939474044222
Recall letter,1.320055878840311
"Urinary tract infection, site not specified",1.3104844973849727
Chronic obstructive pulmonary disease assessment test,1.3074281396505287
Patient on maximal tolerated therapy for diabetes,1.2869703670708201
Refer for X-Ray,1.2840524329414098
Review of admission avoidance care plan,1.268782670510015
Lumigan 100micrograms/ml eye drops (Allergan Ltd),1.2552888872692647
SMS message sent to patient,1.255173832101646
Throat examination - normal,1.2527913229686498
Message from patient,1.245069330275978
Advice given about bowel cancer screening programme,1.2429471238032839
A&E report,1.2312364633804909
Occupations,1.224448841294972
Viazem XL 180mg capsules (Thornton & Ross Ltd),1.2190328446766483
Otomize ear spray (Forest Laboratories UK Ltd),1.2102165169096464
Excepted from COPD quality indicators: Informed dissent,1.1784588318725562
OxyContin 10mg modified-release tablets (Napp Pharmaceuti...,1.1655450491137045
Influenza vaccination declined,1.1644088654280702
Elbow pain,1.1637170660944378
"Chron obstruct pulmonary dis wth acute exacerbation, unspec",1.1571689700314773
Not a carer,1.1486049384034647
Hyperlipidaemia NOS,1.1334812939937722
Donepezil 5mg tablets,1.1325497201156987
GelTears 0.2% gel (Bausch & Lomb UK Ltd),1.1272910165024914
Preferred method of contact: unknown,1.1272792229666568
Influenza vaccination invitation 2nd SMS text message sent,1.127261846004024
Candesartan 16mg tablets,1.1272567766682786
WHO performance status grade 2,1.127203540664188
MSG:Form GOS18 Ophthalmic referral,1.1271809768329093
Influenza vaccination invitation second letter sent,1.127151224725063
Clobetasol 0.05% cream,1.1269146793849207
Examination of patient,1.1105691207976187
Nose symptoms,1.1077056776174075
Diverticulosis,1.1055954880139953
Weight management plan started,1.092631521816079
At risk of acute kidney injury,1.0753246004672987
Discharged from hospital,1.0748474817839058
Repeat medication check,1.0698608315490687
MSG:Eye care,1.0593828944079344
Diclofenac sodium 50mg gastro-resistant tablets,1.0562515878094065
Excepted from hypertension qual indicators: Informed dissent,1.0474996423387615
Research administration,1.035021585621795
Ultrasound scan,1.0349952852309086
Asthma annual review,1.0339693598195685
Amitriptyline 50mg tablets,1.031142098510757
Dovobet ointment (LEO Pharma),1.0227142564231837
Cataract,1.0224017054772419
Lifestyle counselling,1.019023392603318
[V]Administrative encounters,1.014079311919314
Citalopram 40mg tablets,1.0070799984919967
Suspected UTI,1.0051069217447224
Hypertension monitor.chck done,1.0026471366430871
Peripheral neuropathy,1.0
Interpreter booked,1.0
Risedronate sodium 35mg tablets,1.0
On gold standards palliative care framework,1.0
Rhinitis - acute,1.0
Genius gluten free white bread sliced (Genius Foods Ltd),1.0
Dapsone 50mg tablets,1.0
Adverse reaction to Codeine Phosphate,1.0
Gastroenterology,1.0
Travoprost 40micrograms/ml / Timolol 5mg/ml eye drops,1.0
Haemorrhoids,1.0
Ophthalmology,1.0
Cozaar-Comp 50mg/12.5mg tablets (Merck Sharp & Dohme Ltd),1.0
Paroxysmal supraventricular tachycardia,1.0
Patient given advice about bowel cancer,1.0
Regurin XL 60mg capsules (Speciality European Pharma Ltd),1.0
Lumigan 300micrograms/ml eye drops (Allergan Ltd),1.0
Declines to give mobile telephone number,1.0
Carmellose 0.5% eye drops 0.4ml unit dose preservative free,1.0
Ankle X-ray,1.0
Wasp sting,1.0
GOS18 report,1.0
Referral to cataract clinic,1.0
Loss of taste,1.0
Tiotropium bromide 18microgram inhalation powder capsules...,1.0
"Nystan 100,000units/ml oral suspension (ready mixed) (Bri...",1.0
GPCOG (GP assessment of cognition) patient examination,1.0
Coronary heart disease monitoring 2nd letter,1.0
Admission avoidance care started,1.0
Toe pain,1.0
Herpes zoster vacc invit SMS (shrt messge serv) text message,1.0
Referral to prostate assessment clinic,1.0
VitA-POS eye ointment preservative free (Scope Ophthalmic...,1.0
Magnetic resonance imaging of brain normal,1.0
Bicalutamide 50mg tablets,1.0
Drugs and other substances-adverse effects in theraputic use,1.0
Tear-Lac Hypromellose 0.3% eye drops preservative free (S...,1.0
Seasickness,1.0
THR - Other total prosthetic replacement of hip joint,1.0
Seen by gastroenterologist,1.0
BuTrans 20micrograms/hour transdermal patches (Napp Pharm...,1.0
Injection therapeutic substance posterior segment of eye NEC,1.0
[D]Chest mass,1.0
Primary total knee replacement NEC,1.0
Health education - diabetes,1.0
"Influenza vaccine (split virion, inactivated) suspension ...",1.0
Maxitram SR 50mg capsules (Chiesi Ltd),1.0
Angitil XL 240 capsules (Ethypharm UK Ltd),1.0
Bonjela Original gel (Reckitt Benckiser Healthcare (UK) Ltd),1.0
Seen by dentist,1.0
Fucidin H cream (LEO Pharma),1.0
Primary cemented total knee replacement,1.0
MSG:Referral to audiology clinic,1.0
Dexamethasone 2mg tablets,1.0
NovaLife 1 colostomy bag midi 901-35 Cut to fit 35mm-55mm...,1.0
Heart rate,1.0
Nausea,1.0
Peptac liquid aniseed (Teva UK Ltd),1.0
Seen in spinal clinic,1.0
B12 injections - at surgery,1.0
[D]Clicking thumb,1.0
Hydrocortisone 1% ointment,1.0
Patient asked to make telephone consultation appointment,1.0
Fracture of metatarsal bone,1.0
Upper abdominal pain,1.0
Hypothyroidism monitoring first letter,1.0
Referral to fracture clinic,1.0
Discharge from dietetics service,1.0
Fybogel Lemon 3.5g effervescent granules sachets SF (Reck...,1.0
Rep.presc. treatment changed,1.0
Health educn - back problems,1.0
Replacement of aortic valve,1.0
Cannulation site irritation,1.0
Incruse Ellipta 55micrograms/dose dry powder inhaler (Gla...,1.0
Throat symptom NOS,1.0
Ambulatory blood pressure recording,1.0
Did not attend blood test,1.0
Epilepsy medication review,1.0
Falls risk assessment complete,1.0
Ropinirole 500microgram tablets,1.0
Encounter report,1.0
Asthma monitor phone invite,1.0
Rheumatoid arthritis monitoring invitation second letter,1.0
[D]Musculoskeletal pain,1.0
Fesoterodine 4mg modified-release tablets,1.0
Glaucoma NOS,0.9988129967816791
Evacal D3 1500mg/400unit chewable tablets (Teva UK Ltd),0.9988129967816791
Oxycodone 5mg/5ml oral solution sugar free,0.9984280269510083
Buscopan 10mg tablets (Boehringer Ingelheim Ltd),0.9881446346109396
Earache symptoms,0.9870252280620412
Betamethasone 0.1% ear/eye/nose drops,0.9870252280620412
Manevac granules (Meda Pharmaceuticals Ltd),0.9864938938085054
Escitalopram 10mg tablets,0.9813220545784457
Cholelithiasis,0.9742580147738109
Voltarol 1.16% Emulgel (Novartis Consumer Health UK Ltd),0.9702520099957234
Seen in endocrine clinic,0.9690016574912934
C/O - catarrh,0.963644667945981
Seen in hospital casualty,0.9601860292707636
Shoulder X-ray,0.9579509630223946
Tabphyn MR 400microgram capsules (Kyowa Kirin Ltd),0.957504326746762
Fenbid 5% gel (AMCo),0.9574858337821729
E-mail sent to patient,0.9557859126523007
Seen by optician,0.9553734687012376
Seasonal influenza vaccination declined,0.9540844651610412
Minims artificial tears 0.44% eye drops 0.5ml unit dose (...,0.9535986209129119
Fall - accidental,0.949827850543431
Oramorph 10mg/5ml oral solution (Boehringer Ingelheim Ltd),0.9378374324435309
Zomorph 30mg modified-release capsules (Archimedes Pharma...,0.9371955032332411
Lacidipine 2mg tablets,0.9371188239299009
Possible coronary artery disease/heart failure but seems unlikely,0.9360269576171578
Advice to GP to stop patient medication,0.9353901683172293
Review of dementia advance care plan,0.9353901683172293
Arthralgia of knee,0.934541703550562
Hylo-Forte 0.2% eye drops preservative free (Scope Ophthalmics Ltd),0.9343548426091708
Urine looks normal,0.9343433576482947
Candidal intertrigo,0.9336392562877626
Cervical spine X-ray,0.9319778993075014
Epaderm cream (Molnlycke Health Care Ltd),0.9296773136624625
Ex-cigarette smoker,0.9271154802139894
Chronic kidney disease monitoring first letter,0.9200614053509856
[D]Facial pain,0.9177579146469979
Multidisciplinary assessment,0.9172001473777207
Doxycycline 100mg capsules,0.9104189754527973
Subclinical hypothyroidism,0.910096284337284
Telephone call to a patient,0.9063476499614863
Abdominal aortic aneurysm screening,0.9001091117718716
Lorazepam 1mg tablets,0.8973449209312585
Infective otitis externa,0.8969004932640579
Seen by chiropracter,0.8967016082974535
Sore throat symptom,0.895154594885927
Pyridoxine 50mg tablets,0.8945924554838683
Smoking cessation advice declined,0.8943019578693123
Mometasone 0.1% ointment,0.8939385996025802
Betamethasone valerate 0.1% scalp application,0.8939385996025802
